"14106107182","061603P","5","5","8","26"
"14106107184","061603P","4","5","8","26"
"14106107185","061603P","4","4","9","25"
"14106107186","061603P","4","5","9","28"
"14106107187","061603P","5","5","8","28"
"14106107188","061603P","5","5","9","26"
"14106107189","061603P","5","4","8","27"
"14106107192","061603P","5","5","8","27"
"14106107197","061603P","4","5","8","26"
"14106107198","061603P","5","5","8","25"
"14106107201","061603P","5","5","9","26"
"14106107202","061603P","4","4","8","27"
"14106107203","061603P","4","5","8","27"
"14106107204","061603P","4","5","8","26"
"14106107205","061603P","4","5","9","27"
"14106107206","061603P","5","5","8","27"
"14106107207","061603P","5","5","8","25"
"14106107209","061603P","4","5","8","26"
"14106107211","061603P","5","5","8","25"
"14106107263","061603P","4","5","8","26"
"14106107264","061603P","5","4","8","25"
"14106107265","061603P","5","5","8","26"
"14106107266","061603P","4","5","8","26"
"14106107267","061603P","4","4","8","25"
"14106107268","061603P","4","5","8","26"
"14106107269","061603P","4","5","8","27"
"14106107316","061603P","5","5","8","27"
"14106107270","061603P","5","4","8","26"
"14106107317","061603P","5","5","8","28"
"14106107318","061603P","4","5","9","28"
