"15106107251","61603","5","5","8","42"
"16106107001","61603","5","5","12","44"
"16106107003","61603","5","5","9","64"
"16106107004","61603","5","5","16","46"
"16106107005","61603","4","5","9","34"
"16106107006","61603","4","5","12","36"
"16106107007","61603","5","5","18","52"
"16106107008","61603","4","4","11","40"
"16106107009","61603","5","5","8","31"
"16106107010","61603","5","5","16","28"
"16106107011","61603","4","4","11","41"
"16106107012","61603","5","5","8","49"
"16106107013","61603","5","5","16","46"
"16106107014","61603","5","4","11","37"
"16106107015","61603","4","5","9","44"
"16106107016","61603","5","5","8","34"
"16106107017","61603","5","5","8","43"
"16106107018","61603","4","4","10","39"
"16106107019","61603","5","5","8","31"
"16106107020","61603","5","5","11","46"
"16106107022","61603","4","5","10","46"
"16106107023","61603","5","5","11","46"
"16106107024","61603","4","4","10","45"
"16106107025","61603","4","5","9","46"
"16106107026","61603","5","5","16","48"
"16106107027","61603","4","4","12","44"
"16106107028","61603","5","5","17","48"
"16106107029","61603","5","5","8","44"
"16106107030","61603","5","5","13","47"
"16106107031","61603","4","4","10","46"
"16106107032","61603","5","5","15","53"
"16106107033","61603","5","5","13","43"
"16106107034","61603","4","5","9","49"
"16106107036","61603","5","5","14","45"
"16106107037","61603","4","5","12","48"
"16106107039","61603","4","5","13","36"
"17106107901","61603","4","4","11","52"
"17106107902","61603","4","5","9","48"
"17106107903","61603","5","5","8","35"
