"15106107251","031201P","5","5","8","25"
"16106107001","031201P","5","5","8","25"
"16106107002","031201P","5","5","9","23"
"16106107003","031201P","5","5","9","25"
"16106107004","031201P","5","5","9","26"
"16106107005","031201P","5","5","9","25"
"16106107006","031201P","5","5","8","23"
"16106107007","031201P","5","5","9","27"
"16106107008","031201P","5","5","9","23"
"16106107009","031201P","4","4","8","23"
"16106107010","031201P","5","5","8","24"
"16106107011","031201P","5","5","9","24"
"16106107012","031201P","5","5","9","24"
"16106107013","031201P","5","5","9","25"
"16106107014","031201P","4","4","8","24"
"16106107015","031201P","5","5","8","24"
"16106107016","031201P","4","4","8","23"
"16106107017","031201P","5","5","8","24"
"16106107018","031201P","4","4","9","23"
"16106107019","031201P","4","4","8","22"
"16106107020","031201P","5","5","9","25"
"16106107021","031201P","4","4","8","24"
"16106107022","031201P","5","5","9","24"
"16106107023","031201P","4","4","9","24"
"16106107024","031201P","4","4","9","24"
"16106107025","031201P","4","4","9","23"
"16106107026","031201P","5","5","8","24"
"16106107027","031201P","4","4","8","24"
"16106107028","031201P","5","5","9","27"
"16106107029","031201P","4","4","8","23"
"16106107030","031201P","5","5","9","24"
"16106107031","031201P","5","5","8","24"
"16106107032","031201P","5","5","8","25"
"16106107033","031201P","5","5","8","22"
"16106107034","031201P","5","5","7","24"
"16106107035","031201P","5","5","7","23"
"16106107036","031201P","5","5","9","25"
"16106107037","031201P","5","5","9","24"
"16106107038","031201P","5","5","8","22"
"16106107039","031201P","5","5","8","23"
